Word,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10,similar11,similar12,similar13,similar14,similar15,similar16,similar17,similar18,similar19,similar20,similar21,similar22,similar23,similar24,similar25,similar26,similar27,similar28,similar29,similar30,similar31,similar32,similar33,similar34,similar35,similar36,similar37,similar38,similar39,similar40,similar41,similar42,similar43,similar44,similar45,similar46
transmit,transport,communicate,carry,channelize,send,convey,channelise,transfer,air,channel,broadcast,conduct,transmit,beam,impart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
execute,process,resolve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
correct,redress,rectify,amend,adjust,rectify,admonish,improve,perfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need,want,demand,require,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicate,forecast,image,figure,raise,put forward,present,remind,alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the AGV1-control command,in the AGV1-control command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoid the obstacles,away the obstacles,avoid the obstacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoid the obstacles by the specific-task data 2,away the obstacles by the specific-task data 2,avoid the obstacles by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
by the specific-task data 2,by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
only,merely,alone,yet,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merely,merely,only,barely,simply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continue tasks by the specific-task data 2,continue tasks by the specific-task data 2,run on tasks by the specific-task data 2,carry on with tasks by the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specific-task data 2,in the specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the safety-critical and security-critical specific-task data 2,in the safety-critical and security-critical specific-task data 2,in the safety-critical,in the security-critical specific-task data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,complete,accomplish,carry out,achieve,fulfil,perform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
available,available,valid,effective,virtual,significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be damaged by the obstacles,be damaged by the obstacles,be ruined by the obstacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be invaded  by the hackers,be invaded  by the hackers,be attacked by the hackers,be controlled by the hackers,be lost control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slightly,slightly,a little,a few,appreciably,marginally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partially,partially,half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seriously,seriously,badly,severely,earnestly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maliciously,maliciously,malevolently,inimically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage the obstacles,damage the obstacles,ruin the obstacles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be not controlled by the hackers,be not controlled by the hackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be controlled by the hackers,be controlled by the hackers,be lost control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be lost control,be lost control,be controlled by the hackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
